Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.6774,-1.0087,14.4005,3.6774
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.6102,-1.0087,14.4005,3.6102
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,0.3090,-1.0087,14.4005,0.3090
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,0.7177,-1.0087,14.4005,0.7177
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.1936,-1.0087,14.4005,1.1936
1,Line,,,,,,,,,,,1.3530,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.0995,-1.0087,14.4005,3.0995
1,Line,,,,,,,,,,,1.3530,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,2.6908,-1.0087,14.4005,2.6908
1,Line,,,,,,,,,,,1.3530,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,2.2149,-1.0087,14.4005,2.2149
1,Circle,,,,,,,12.2314,-1.0087,14.4005,1.7043,,1.9732,,,12.3977,3.9463,,,,,,,,,,
1,Circle,,,,,,,12.5833,-1.0087,14.4005,1.7043,,2.0013,,,12.5748,4.0027,,,,,,,,,,
1,Line,,,,,,,,,,,1.3530,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.4131,-1.0087,14.4005,3.4131
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,-0.0046,-1.0087,14.4005,-0.0046
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,-0.0046,-1.0087,14.4005,-0.0046
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,-0.2017,-1.0087,14.4005,-0.2017
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,-0.2689,-1.0087,14.4005,-0.2689
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.1936,-1.0087,14.4005,1.1936
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,0.7177,-1.0087,14.4005,0.7177
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,0.3090,-1.0087,14.4005,0.3090
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,2.6908,-1.0087,14.4005,2.6908
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.0995,-1.0087,14.4005,3.0995
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,3.4131,-1.0087,14.4005,3.4131
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,-0.2017,-1.0087,14.4005,-0.2017
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-1.0087,14.4005,1.7043,-1.0087,14.4005,1.7043
